language,term,term_occurrences,n_questions
lug,kasoli,33,24
lug,nga,26,20
lug,nze,25,19
lug,njagala,17,8
lug,dagala,15,15
lug,enyanya,15,14
lug,zange,14,13
lug,naye,13,11
lug,ate,13,6
lug,era,12,8
lug,mbuza,12,7
lug,meka,11,9
nyn,kandi,179,153
nyn,ndi,173,157
nyn,ninyenda,171,153
nyn,ente,160,138
nyn,nimbuza,141,136
nyn,nyine,114,106
nyn,enkoko,107,92
nyn,ebihimba,97,90
nyn,omwani,96,91
nyn,embuzi,95,84
nyn,omubazi,87,83
nyn,enyanya,79,74
nyn,ninye,75,71
nyn,ngu,71,65
nyn,hati,65,62
nyn,konka,62,55
nyn,kuhinga,61,58
nyn,nkoreki,61,58
nyn,mwebare,56,53
nyn,zingahi,55,53
nyn,zangye,53,49
nyn,empunu,52,42
nyn,ebicoori,51,47
nyn,kuruga,50,48
nyn,nyowe,49,44
nyn,obutunda,48,40
nyn,yangye,47,46
nyn,emondi,47,43
nyn,obuyambi,46,45
nyn,ebicori,45,39
nyn,mubaziki,45,44
nyn,mbwenu,45,42
nyn,ebeyi,43,43
nyn,mubazi,42,41
nyn,naba,42,39
nyn,kumanya,41,36
nyn,waba,38,37
nyn,kwonka,38,33
nyn,omuhingi,37,33
nyn,nta,37,35
nyn,akatare,35,33
nyn,muhogo,35,32
nyn,omuri,34,34
nyn,nibuza,34,34
nyn,nimbasa,34,33
nyn,ninga,34,30
nyn,nimpinga,33,25
nyn,kamwenge,33,32
nyn,ota,33,30
nyn,nikiretwaki,32,31
nyn,yaba,31,30
nyn,aha,30,27
nyn,negura,29,29
nyn,ibanda,28,28
nyn,hamwe,27,20
nyn,obwire,26,26
nyn,kutunga,25,25
nyn,district,25,23
nyn,amahuri,24,22
nyn,nkozese,24,24
nyn,yebihimba,23,22
nyn,nizingahi,22,22
nyn,water,22,15
nyn,munonga,22,18
nyn,embibo,22,21
nyn,ekibuzo,22,20
nyn,obuhabuzi,22,19
nyn,rubanda,21,20
nyn,bya,21,20
nyn,nibigura,21,21
nyn,mungambire,20,19
nyn,emwe,20,19
nyn,koreki,20,20
nyn,mbuza,20,16
nyn,bwenu,20,18
nyn,kurisa,20,16
nyn,owa,19,19
nyn,ninyeda,19,17
nyn,enkooko,19,17
nyn,nabuza,19,17
nyn,orutokye,18,15
nyn,kyenjojo,18,17
nyn,oburo,18,14
nyn,mumpabure,17,16
nyn,ekoko,17,16
nyn,noyenda,17,17
nyn,gwangye,17,17
nyn,zagye,17,16
nyn,buri,17,14
nyn,okuhinga,17,13
nyn,nobasa,17,14
nyn,amezi,17,16
nyn,amababi,16,16
nyn,eshaho,16,16
nyn,obukoko,16,14
nyn,zine,16,13
nyn,munyambe,16,14
nyn,kyi,16,15
nyn,ebitakuri,15,12
nyn,gwa,15,15
nyn,wefarm,15,14
nyn,omuntu,15,14
nyn,bwireki,15,15
nyn,omurutokye,15,15
nyn,amate,14,13
nyn,garukamu,14,14
nyn,ebiro,14,8
nyn,ahabwenki,14,14
nyn,ki?,14,14
nyn,eta,14,14
nyn,manure,13,13
nyn,emitumba,13,12
nyn,zaba,13,13
nyn,niguha,13,12
nyn,amapapa,13,12
nyn,obutumwa,13,13
nyn,omunda,13,7
nyn,kugira,13,13
nyn,enjoki,13,13
nyn,buhweju,13,13
nyn,kiro,13,13
nyn,sente,13,12
nyn,disiturikiti,13,13
nyn,webare,12,11
nyn,obutunguru,12,8
nyn,kwera,12,12
nyn,ahansi,12,11
nyn,zirwire,12,11
nyn,nabuuza,12,12
nyn,okwe,12,12
nyn,district.,12,12
nyn,ebikyori,12,10
nyn,nkorekyi,12,11
nyn,niyenda,12,11
nyn,kuba,12,12
nyn,omu,12,12
nyn,robert,11,11
nyn,samuel,11,11
nyn,bita,11,11
nyn,enamba,11,9
nyn,nkorenta,11,9
nyn,nyanya,11,10
nyn,isingiro,11,11
nyn,mbarara,11,10
nyn,eyine,11,8
nyn,byangye,11,11
nyn,nkahi,11,11
nyn,nungi,11,10
nyn,kureba,11,10
nyn,nimbuuza,11,11
nyn,mumpe,11,10
nyn,angahi,11,11
nyn,bwangye,10,10
nyn,ebisyaka,10,10
nyn,melon,10,8
nyn,nkore,10,10
nyn,obume,10,9
nyn,kutera,10,9
nyn,biguli,10,9
nyn,kilo,10,10
nyn,bwire,10,9
nyn,egi,10,10
nyn,kwenda,10,9
nyn,emyaka,10,10
nyn,omubwire,10,9
nyn,ebicoli,10,9
nyn,kukozesa,10,9
nyn,kand,10,7
nyn,ahiguru,10,7
swa,gani,632,537
swa,kuku,578,375
swa,dawa,514,452
swa,kwa,484,376
swa,nataka,215,110
swa,mahindi,188,144
swa,wapi,183,155
swa,nini,180,143
swa,kienyeji,174,78
swa,wangu,171,150
swa,niko,154,124
swa,mbegu,147,136
swa,ngapi,146,113
swa,nyanya,145,114
swa,sungura,131,108
swa,ngombe,128,95
swa,ili,124,104
swa,mayai,123,95
swa,kupanda,122,99
swa,jibu,121,63
swa,kama,121,84
swa,vifaranga,116,92
swa,naweza,115,91
swa,shida,112,89
swa,kuna,109,89
swa,aina,106,91
swa,viazi,101,72
swa,moja,99,76
swa,wakati,93,77
swa,anauliza,91,80
swa,mara,90,40
swa,aje,89,64
swa,wadudu,89,76
swa,maziwa,88,67
swa,ombe,86,74
swa,yangu,86,72
swa,pata,84,68
swa,kufuga,83,46
swa,mbuzi,80,58
swa,nzuri,79,71
swa,naeza,77,62
swa,soko,76,61
swa,ipi,75,64
swa,lakini,73,58
swa,sukuma,72,50
swa,miezi,71,66
swa,mkulima,70,50
swa,ama,69,49
swa,nauliza,69,60
swa,iko,67,57
swa,mimi,67,48
swa,muda,66,54
swa,sana,64,52
swa,nina,64,48
swa,gani?,63,56
swa,chakula,63,47
swa,shamba,61,46
swa,mbolea,61,49
swa,mmea,60,33
swa,mimea,60,35
swa,mzuri,58,54
swa,ugonjwa,54,38
swa,nini?,54,42
swa,zangu,51,46
swa,ikifuatiwa,50,44
swa,yake,48,44
swa,siku,48,37
swa,kujua,48,34
swa,nitapata,47,36
swa,baada,46,38
swa,mboga,46,26
swa,ndio,46,40
swa,bei,44,38
swa,kiasi,44,26
swa,panda,43,39
swa,ngani,43,34
swa,maindi,43,34
swa,lako.,42,36
swa,ina,42,35
swa,nko,42,32
swa,vizuri,42,33
swa,wiki,41,36
swa,kulima,41,21
swa,kwenye,40,33
swa,maharagwe,40,32
swa,swali,39,36
swa,kunde,39,21
swa,nitatumia,37,28
swa,mazao,36,29
swa,mvua,36,32
swa,kuwa,36,30
swa,county,36,28
swa,ambayo,35,29
swa,kuzuia,35,25
swa,ndama,35,23
swa,maji,35,27
swa,upi,35,29
swa,miti,34,19
swa,ndizi,34,23
swa,kila,33,25
swa,nitumie,33,31
swa,sasa,33,28
swa,nauza,33,27
swa,kuanza,33,24
swa,gan,32,27
swa,kutumia,31,24
swa,nimepanda,31,25
swa,gunia,31,29
swa,huwa,31,23
swa,bora,31,30
swa,tumia,30,26
swa,namba,30,20
swa,pia,30,21
swa,unaweza,29,27
swa,matawi,29,25
swa,kani,28,25
swa,bata,27,22
swa,kitunguu,27,18
swa,cha,27,16
swa,mimba,26,25
swa,huu,26,26
swa,ufugaji,26,11
swa,inafaa,26,22
swa,wapi?,26,19
swa,ikiwa,26,19
swa,nitafanya,26,18
swa,yenye,25,23
swa,maua,25,23
swa,ng'ombe,25,22
swa,ningependa,25,22
swa,msimu,25,24
swa,mda,25,21
swa,kupata,25,19
swa,vitunguu,25,18
swa,katika,25,20
swa,sehemu,25,22
swa,shambani,25,19
swa,macho,25,22
swa,vya,24,18
swa,kutoka,24,20
swa,ukitaka,24,18
swa,kuweka,24,19
swa,haraka,24,18
swa,inaweza,24,20
swa,upande,24,13
swa,mwezi,24,21
swa,wefarm,23,22
swa,vipi,23,21
swa,tena,23,16
swa,nyuki,22,15
swa,kulalia,22,15
swa,ambaye,22,19
swa,kondoo,22,19
swa,mbwa,22,21
swa,nifanye,22,18
swa,kutaga,22,19
swa,mbili,22,20
swa,ana,22,19
swa,ako,21,18
swa,hapa,21,19
swa,mtu,21,18
swa,hii,21,20
swa,pesa,21,17
swa,nani,21,17
swa,sijui,21,15
swa,nafaa,21,10
swa,nikitaka,20,17
swa,akiwa,20,18
swa,wakiwa,20,16
swa,tatu,20,16
swa,langu,20,17
swa,maembe,20,16
swa,mengi,20,16
swa,pili,19,9
swa,anafaa,19,16
swa,mingapi,19,19
swa,how,18,14
swa,miaka,18,17
swa,miwa,18,13
swa,mbona,18,17
swa,kilo,18,15
swa,saumu,18,9
swa,mwaka,18,10
swa,pojo,18,6
swa,nyumba,18,13
swa,minyoo,18,15
swa,mingi,17,13
swa,baridi,17,14
swa,malenge,17,5
swa,maidi,17,10
swa,poa,17,14
swa,natafuta,17,13
swa,kufa,16,14
swa,ndege,16,8
swa,nguruwe,16,13
swa,hoho,16,9
swa,kufuka,16,8
swa,nipate,16,12
swa,bado,16,16
swa,kutoa,16,16
swa,mahidi,16,13
swa,ndani,16,13
swa,jinsi,16,14
swa,pilipili,16,8
swa,kuzaa,15,13
swa,mbinu,15,12
swa,wana,15,14
swa,yote,15,12
swa,njia,15,13
swa,ngapi?,15,14
swa,hata,15,11
swa,afya,15,13
swa,kula,15,12
swa,kumi,15,13
swa,zaidi,15,11
swa,miraa,15,9
swa,wako,15,13
swa,bila,15,12
swa,kufura,15,8
swa,ziko,15,12
swa,mbaazi,15,3
swa,viroboto,14,11
swa,siku?,14,10
swa,hadi,14,12
swa,tano,14,11
swa,manyoya,14,12
swa,shilingi,14,12
swa,grade,14,10
swa,inapatikana,14,13
swa,wakulima,14,14
swa,fanya,14,11
swa,humaliza,14,14
swa,faida,14,9
swa,wenye,14,9
swa,njiwa,14,12
swa,inaeza,14,11
swa,spinach,14,11
swa,ambao,14,14
swa,huchukua,14,13
swa,kua,14,13
swa,kununua,14,8
swa,wadogo,14,10
swa,matunda,13,13
swa,nawesa,13,12
swa,kwanini,13,5
swa,nifanyeje,13,10
swa,ukulima,13,12
